,time,lat,lon,elevation,watts,bpm,rpm,lat_prev,lon_prev,elevation_prev,dist,elevation_chg,dist_3d,watts_10s_rolling,watts_30s_rolling,dist_cumulative,watts-kg
726,2020-10-13T18:58:22Z,-11.658938,166.984713,13.8,241,140,89,-11.658895,166.984604,14.0,0.012797002670412233,0.1999999999999993,0.2004089900112923,228.5,238.26666666666668,9.192190677424897,3.707692307692308
727,2020-10-13T18:58:23Z,-11.65898,166.984818,13.8,249,140,90,-11.658938,166.984713,13.8,0.012351543075609218,0.0,0.012351543075609218,231.4,238.3,9.204542220500507,3.830769230769231
728,2020-10-13T18:58:24Z,-11.659028,166.984928,13.8,238,140,91,-11.65898,166.984818,13.8,0.013114349931223691,0.0,0.013114349931223691,233.8,237.6,9.21765657043173,3.6615384615384614
729,2020-10-13T18:58:25Z,-11.659082,166.985037,13.6,238,140,89,-11.659028,166.984928,13.8,0.013302476980997712,0.20000000000000107,0.2004419015421436,234.4,236.9,9.230959047412728,3.6615384615384614
730,2020-10-13T18:58:26Z,-11.659139,166.985138,13.6,230,141,90,-11.659082,166.985037,13.6,0.012694462985228762,0.0,0.012694462985228762,234.8,236.43333333333334,9.243653510397957,3.5384615384615383
731,2020-10-13T18:58:27Z,-11.659197,166.985237,13.6,242,141,89,-11.659139,166.985138,13.6,0.01256294099406187,0.0,0.01256294099406187,235.0,236.26666666666668,9.256216451392019,3.723076923076923
732,2020-10-13T18:58:28Z,-11.659267,166.985336,13.4,240,141,91,-11.659197,166.985237,13.6,0.013297333117269347,0.1999999999999993,0.2004415602314833,235.8,236.03333333333333,9.269513784509288,3.6923076923076925
733,2020-10-13T18:58:29Z,-11.659356,166.985413,13.4,228,142,90,-11.659267,166.985336,13.4,0.012971206624197033,0.0,0.012971206624197033,235.6,235.16666666666666,9.282484991133485,3.5076923076923077
734,2020-10-13T18:58:30Z,-11.659459,166.985462,13.4,227,143,90,-11.659356,166.985413,13.4,0.012635176225474566,0.0,0.012635176225474566,235.4,234.2,9.29512016735896,3.4923076923076923
735,2020-10-13T18:58:31Z,-11.65958,166.985477,13.6,230,143,88,-11.659459,166.985462,13.4,0.013553403358440082,-0.1999999999999993,0.2004587108174556,236.3,233.4,9.3086735707174,3.5384615384615383
736,2020-10-13T18:58:32Z,-11.659694,166.98546,13.6,236,144,90,-11.65958,166.985477,13.6,0.012810713853305808,0.0,0.012810713853305808,235.8,232.96666666666667,9.321484284570705,3.6307692307692307
737,2020-10-13T18:58:33Z,-11.659805,166.985421,13.8,228,144,89,-11.659694,166.98546,13.6,0.013052936589080848,-0.20000000000000107,0.2004254952684388,233.7,232.66666666666666,9.334537221159785,3.5076923076923077
738,2020-10-13T18:58:34Z,-11.659905,166.985371,13.8,236,145,88,-11.659805,166.985421,13.8,0.012381105487456022,0.0,0.012381105487456022,233.5,232.66666666666666,9.346918326647241,3.6307692307692307
739,2020-10-13T18:58:35Z,-11.660004,166.985305,14.0,232,145,88,-11.659905,166.985371,13.8,0.01314694412333656,-0.1999999999999993,0.2004316395676637,232.9,232.46666666666667,9.360065270770578,3.5692307692307694
740,2020-10-13T18:58:36Z,-11.660093,166.985239,14.0,236,144,87,-11.660004,166.985305,14.0,0.012230990745126166,0.0,0.012230990745126166,233.5,232.3,9.372296261515704,3.6307692307692307
741,2020-10-13T18:58:37Z,-11.660179,166.985169,14.0,234,144,85,-11.660093,166.985239,14.0,0.012229361412653626,0.0,0.012229361412653626,232.7,231.96666666666667,9.384525622928358,3.6
